Date,Fund,Value
2023-05-01,Active Fund Average,1.0
2023-05-01,Bankers Investment Trust,1.0
2023-05-01,BlackRock World Mining,1.0
2023-05-01,City of London,1.0
2023-05-01,F&C Investment Trust,1.0
2023-05-01,FTSE 100,1.0
2023-05-01,FTSE All World,1.0
2023-05-01,Henderson Far East Income,1.0
2023-05-01,International Public Partnerships,1.0
2023-05-01,JPMorgan European Growth & Income,1.0
2023-05-01,JPMorgan Global Growth & Income,1.0
2023-05-01,Law Debenture,1.0
2023-05-01,Lowland Investment Trust,1.0
2023-05-01,Merchants Trust,1.0
2023-05-01,Monks Investment Trust,1.0
2023-05-01,Murray International,1.0
2023-05-01,Personal Assets Trust,1.0
2023-05-01,S&P 500,1.0
2023-05-01,Scottish American,1.0
2023-05-01,Scottish Mortgage,1.0
2023-05-01,Temple Bar,1.0
2023-05-01,TwentyFour Income Fund,1.0
2023-06-01,Active Fund Average,0.9879
2023-06-01,Bankers Investment Trust,1.0051
2023-06-01,BlackRock World Mining,1.0223
2023-06-01,City of London,0.9925
2023-06-01,F&C Investment Trust,0.9819
2023-06-01,FTSE 100,1.0115
2023-06-01,FTSE All World,1.0282
2023-06-01,Henderson Far East Income,0.9897
2023-06-01,International Public Partnerships,0.9309
2023-06-01,JPMorgan European Growth & Income,0.9809
2023-06-01,JPMorgan Global Growth & Income,1.0208
2023-06-01,Law Debenture,0.9721
2023-06-01,Lowland Investment Trust,0.9538
2023-06-01,Merchants Trust,0.9743
2023-06-01,Monks Investment Trust,1.0185
2023-06-01,Murray International,0.9724
2023-06-01,Personal Assets Trust,0.9883
2023-06-01,S&P 500,1.0647
2023-06-01,Scottish American,1.002
2023-06-01,Scottish Mortgage,1.0009
2023-06-01,Temple Bar,1.0
2023-06-01,TwentyFour Income Fund,0.9754
2023-07-01,Active Fund Average,1.0179
2023-07-01,Bankers Investment Trust,1.0297
2023-07-01,BlackRock World Mining,1.0718
2023-07-01,City of London,1.0063
2023-07-01,F&C Investment Trust,1.0079
2023-07-01,FTSE 100,1.034
2023-07-01,FTSE All World,1.0596
2023-07-01,Henderson Far East Income,0.9897
2023-07-01,International Public Partnerships,0.9468
2023-07-01,JPMorgan European Growth & Income,1.0044
2023-07-01,JPMorgan Global Growth & Income,1.0483
2023-07-01,Law Debenture,1.0331
2023-07-01,Lowland Investment Trust,1.0043
2023-07-01,Merchants Trust,1.0239
2023-07-01,Monks Investment Trust,1.036
2023-07-01,Murray International,0.959
2023-07-01,Personal Assets Trust,0.998
2023-07-01,S&P 500,1.0979
2023-07-01,Scottish American,1.0116
2023-07-01,Scottish Mortgage,1.1052
2023-07-01,Temple Bar,1.0633
2023-07-01,TwentyFour Income Fund,0.9823
2023-08-01,Active Fund Average,0.9837
2023-08-01,Bankers Investment Trust,0.999
2023-08-01,BlackRock World Mining,1.0035
2023-08-01,City of London,0.9814
2023-08-01,F&C Investment Trust,0.9775
2023-08-01,FTSE 100,0.9991
2023-08-01,FTSE All World,1.0489
2023-08-01,Henderson Far East Income,0.8973
2023-08-01,International Public Partnerships,0.9496
2023-08-01,JPMorgan European Growth & Income,0.9959
2023-08-01,JPMorgan Global Growth & Income,1.0264
2023-08-01,Law Debenture,1.0128
2023-08-01,Lowland Investment Trust,0.9497
2023-08-01,Merchants Trust,0.9873
2023-08-01,Monks Investment Trust,0.9959
2023-08-01,Murray International,0.94
2023-08-01,Personal Assets Trust,0.9895
2023-08-01,S&P 500,1.0784
2023-08-01,Scottish American,0.9751
2023-08-01,Scottish Mortgage,1.0298
2023-08-01,Temple Bar,1.0317
2023-08-01,TwentyFour Income Fund,0.9648
2023-09-01,Active Fund Average,1.0086
2023-09-01,Bankers Investment Trust,1.1278
2023-09-01,BlackRock World Mining,0.9971
2023-09-01,City of London,0.9591
2023-09-01,F&C Investment Trust,1.0432
2023-09-01,FTSE 100,1.0218
2023-09-01,FTSE All World,1.0409
2023-09-01,Henderson Far East Income,0.9056
2023-09-01,International Public Partnerships,0.8906
2023-09-01,JPMorgan European Growth & Income,1.0863
2023-09-01,JPMorgan Global Growth & Income,0.9969
2023-09-01,Law Debenture,0.9587
2023-09-01,Lowland Investment Trust,1.0559
2023-09-01,Merchants Trust,0.9385
2023-09-01,Monks Investment Trust,1.0776
2023-09-01,Murray International,0.9436
2023-09-01,Personal Assets Trust,0.987
2023-09-01,S&P 500,1.0259
2023-09-01,Scottish American,0.9524
2023-09-01,Scottish Mortgage,1.1807
2023-09-01,Temple Bar,1.0911
2023-09-01,TwentyFour Income Fund,0.9628
2023-10-01,Active Fund Average,0.9263
2023-10-01,Bankers Investment Trust,0.959
2023-10-01,BlackRock World Mining,0.9217
2023-10-01,City of London,0.9376
2023-10-01,F&C Investment Trust,0.956
2023-10-01,FTSE 100,0.9833
2023-10-01,FTSE All World,1.0146
2023-10-01,Henderson Far East Income,0.8142
2023-10-01,International Public Partnerships,0.8377
2023-10-01,JPMorgan European Growth & Income,0.9491
2023-10-01,JPMorgan Global Growth & Income,1.0188
2023-10-01,Law Debenture,0.9367
2023-10-01,Lowland Investment Trust,0.8784
2023-10-01,Merchants Trust,0.8898
2023-10-01,Monks Investment Trust,0.926
2023-10-01,Murray International,0.8653
2023-10-01,Personal Assets Trust,0.9821
2023-10-01,S&P 500,1.0033
2023-10-01,Scottish American,0.8859
2023-10-01,Scottish Mortgage,0.9646
2023-10-01,Temple Bar,1.0092
2023-10-01,TwentyFour Income Fund,0.9411
2023-11-01,Active Fund Average,0.9819
2023-11-01,Bankers Investment Trust,1.0114
2023-11-01,BlackRock World Mining,0.9353
2023-11-01,City of London,0.9815
2023-11-01,F&C Investment Trust,0.9967
2023-11-01,FTSE 100,1.001
2023-11-01,FTSE All World,1.0614
2023-11-01,Henderson Far East Income,0.8482
2023-11-01,International Public Partnerships,0.924
2023-11-01,JPMorgan European Growth & Income,1.0087
2023-11-01,JPMorgan Global Growth & Income,1.0539
2023-11-01,Law Debenture,0.9888
2023-11-01,Lowland Investment Trust,0.9582
2023-11-01,Merchants Trust,0.9709
2023-11-01,Monks Investment Trust,1.0247
2023-11-01,Murray International,0.9286
2023-11-01,Personal Assets Trust,0.9863
2023-11-01,S&P 500,1.0928
2023-11-01,Scottish American,0.9617
2023-11-01,Scottish Mortgage,1.0884
2023-11-01,Temple Bar,1.0341
2023-11-01,TwentyFour Income Fund,0.9728
2023-12-01,Active Fund Average,1.0594
2023-12-01,Bankers Investment Trust,1.1802
2023-12-01,BlackRock World Mining,1.0095
2023-12-01,City of London,0.995
2023-12-01,F&C Investment Trust,1.1078
2023-12-01,FTSE 100,1.0386
2023-12-01,FTSE All World,1.1051
2023-12-01,Henderson Far East Income,0.8853
2023-12-01,International Public Partnerships,0.9888
2023-12-01,JPMorgan European Growth & Income,1.1609
2023-12-01,JPMorgan Global Growth & Income,1.0715
2023-12-01,Law Debenture,0.9813
2023-12-01,Lowland Investment Trust,1.114
2023-12-01,Merchants Trust,0.9737
2023-12-01,Monks Investment Trust,1.1795
2023-12-01,Murray International,1.0009
2023-12-01,Personal Assets Trust,1.0082
2023-12-01,S&P 500,1.1412
2023-12-01,Scottish American,1.0005
2023-12-01,Scottish Mortgage,1.2665
2023-12-01,Temple Bar,1.109
2023-12-01,TwentyFour Income Fund,1.0358
2024-01-01,Active Fund Average,1.0135
2024-01-01,Bankers Investment Trust,1.0648
2024-01-01,BlackRock World Mining,0.9269
2024-01-01,City of London,1.0028
2024-01-01,F&C Investment Trust,1.0994
2024-01-01,FTSE 100,1.0248
2024-01-01,FTSE All World,1.1211
2024-01-01,Henderson Far East Income,0.8461
2024-01-01,International Public Partnerships,0.9341
2024-01-01,JPMorgan European Growth & Income,1.0461
2024-01-01,JPMorgan Global Growth & Income,1.1307
2024-01-01,Law Debenture,0.9952
2024-01-01,Lowland Investment Trust,0.9647
2024-01-01,Merchants Trust,0.9984
2024-01-01,Monks Investment Trust,1.0751
2024-01-01,Murray International,0.9305
2024-01-01,Personal Assets Trust,1.0065
2024-01-01,S&P 500,1.1593
2024-01-01,Scottish American,0.9752
2024-01-01,Scottish Mortgage,1.1623
2024-01-01,Temple Bar,1.0522
2024-01-01,TwentyFour Income Fund,1.0319
2024-02-01,Active Fund Average,1.0169
2024-02-01,Bankers Investment Trust,1.1018
2024-02-01,BlackRock World Mining,0.8407
2024-02-01,City of London,0.9754
2024-02-01,F&C Investment Trust,1.1085
2024-02-01,FTSE 100,1.0247
2024-02-01,FTSE All World,1.1658
2024-02-01,Henderson Far East Income,0.8855
2024-02-01,International Public Partnerships,0.9082
2024-02-01,JPMorgan European Growth & Income,1.0642
2024-02-01,JPMorgan Global Growth & Income,1.1964
2024-02-01,Law Debenture,1.0016
2024-02-01,Lowland Investment Trust,0.9542
2024-02-01,Merchants Trust,0.9561
2024-02-01,Monks Investment Trust,1.1306
2024-02-01,Murray International,0.9344
2024-02-01,Personal Assets Trust,1.0033
2024-02-01,S&P 500,1.2193
2024-02-01,Scottish American,0.9618
2024-02-01,Scottish Mortgage,1.2034
2024-02-01,Temple Bar,1.0545
2024-02-01,TwentyFour Income Fund,1.0242
2024-03-01,Active Fund Average,1.1034
2024-03-01,Bankers Investment Trust,1.2735
2024-03-01,BlackRock World Mining,0.9565
2024-03-01,City of London,1.0233
2024-03-01,F&C Investment Trust,1.2178
2024-03-01,FTSE 100,1.068
2024-03-01,FTSE All World,1.2026
2024-03-01,Henderson Far East Income,0.9143
2024-03-01,International Public Partnerships,0.8924
2024-03-01,JPMorgan European Growth & Income,1.2502
2024-03-01,JPMorgan Global Growth & Income,1.2029
2024-03-01,Law Debenture,1.0254
2024-03-01,Lowland Investment Trust,1.1315
2024-03-01,Merchants Trust,0.977
2024-03-01,Monks Investment Trust,1.3115
2024-03-01,Murray International,1.028
2024-03-01,Personal Assets Trust,1.0296
2024-03-01,S&P 500,1.2571
2024-03-01,Scottish American,1.0378
2024-03-01,Scottish Mortgage,1.367
2024-03-01,Temple Bar,1.1907
2024-03-01,TwentyFour Income Fund,1.0321
2024-04-01,Active Fund Average,1.0643
2024-04-01,Bankers Investment Trust,1.151
2024-04-01,BlackRock World Mining,0.9972
2024-04-01,City of London,1.0316
2024-04-01,F&C Investment Trust,1.1186
2024-04-01,FTSE 100,1.0937
2024-04-01,FTSE All World,1.1843
2024-04-01,Henderson Far East Income,0.9329
2024-04-01,International Public Partnerships,0.9111
2024-04-01,JPMorgan European Growth & Income,1.1015
2024-04-01,JPMorgan Global Growth & Income,1.1965
2024-04-01,Law Debenture,1.0816
2024-04-01,Lowland Investment Trust,1.0256
2024-04-01,Merchants Trust,1.028
2024-04-01,Monks Investment Trust,1.1902
2024-04-01,Murray International,0.9536
2024-04-01,Personal Assets Trust,1.0246
2024-04-01,S&P 500,1.2048
2024-04-01,Scottish American,0.9638
2024-04-01,Scottish Mortgage,1.2656
2024-04-01,Temple Bar,1.1653
2024-04-01,TwentyFour Income Fund,1.0183
2024-05-01,Active Fund Average,1.0828
2024-05-01,Bankers Investment Trust,1.1572
2024-05-01,BlackRock World Mining,1.0074
2024-05-01,City of London,1.058
2024-05-01,F&C Investment Trust,1.1401
2024-05-01,FTSE 100,1.1114
2024-05-01,FTSE All World,1.1953
2024-05-01,Henderson Far East Income,0.9558
2024-05-01,International Public Partnerships,0.8999
2024-05-01,JPMorgan European Growth & Income,1.1335
2024-05-01,JPMorgan Global Growth & Income,1.1768
2024-05-01,Law Debenture,1.1107
2024-05-01,Lowland Investment Trust,1.0888
2024-05-01,Merchants Trust,1.0704
